id,branch,topic,subtopic,chapter_hint,source_type,source_path_or_title,url,scope,use_in_retrieval,priority,notes
bert_actual,deep_learning,atencion_transformers,bert_nlp,BERT pretraining / masked language modeling,pdf_repo,corpus/ciencia_datos/deep_learning/05_atencion_transformers/bert.pdf,https://arxiv.org/abs/1810.04805,tema_especifico,yes,media,Usar para BERT y NLP contextual; no usar como fuente general de todos los Transformers
d2l_actual,deep_learning,general_deep_learning,libro_general,Usar por capitulos segun tema,pdf_repo,corpus/Dive_into_deep.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Dive_into_deep.pdf,fuente_general,yes,alta,Requiere metadatos topic/chapter para no mezclar todo el libro
attention_actual,deep_learning,atencion_transformers,self_attention,Attention Is All You Need,pdf_repo,corpus/ciencia_datos/deep_learning/05_atencion_transformers/attention_is_all_you_need.pdf,https://arxiv.org/abs/1706.03762,tema_especifico,yes,alta,Fuente principal para self-attention multi-head attention y positional encoding
gan_actual,deep_learning,generativos,gans,Generative Adversarial Nets,pdf_repo,corpus/ciencia_datos/deep_learning/08_autoencoders_vae_gans/generative_adversarial_nets.pdf,https://arxiv.org/abs/1406.2661,tema_especifico,yes,alta,Fuente principal para GANs
hands_on_actual,machine_learning_estadistica,ml_practico,ml_y_dl_practico,Capitulos de redes neuronales solo si hacen falta,pdf_repo,corpus/Hands_on_machine.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Hands_on_machine.pdf,mixto,conditional,media,Mezcla ML clasico y Deep Learning; usar con filtros
esl_actual,machine_learning_estadistica,statistical_learning,ml_estadistico,Elements of Statistical Learning,pdf_repo,corpus/Elements_statistic_learning.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Elements_statistic_learning.pdf,fuera_del_nucleo_dl,no,baja,No usar para respuestas de Deep Learning salvo fundamentos estadisticos
isl_actual,machine_learning_estadistica,statistical_learning,ml_introductorio,Introduction to Statistical Learning,pdf_repo,corpus/Introductio_statistic_learning.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Introductio_statistic_learning.pdf,fuera_del_nucleo_dl,no,baja,No usar para respuestas de Deep Learning salvo fundamentos de ML
resnet_recomendado,deep_learning,cnn_vision,resnet_conexiones_residuales,Deep Residual Learning for Image Recognition,paper,corpus/ciencia_datos/deep_learning/06_cnn_vision/resnet_deep_residual_learning.pdf,https://arxiv.org/abs/1512.03385,tema_especifico,yes,alta,Cubre CNN profunda y conexiones residuales
gradcam_recomendado,deep_learning,explicabilidad,grad_cam,Grad-CAM,paper,corpus/ciencia_datos/deep_learning/07_explicabilidad/grad_cam.pdf,https://arxiv.org/abs/1610.02391,tema_especifico,yes,alta,Cubre explicabilidad visual en CNN
vae_recomendado,deep_learning,generativos,vae,Auto-Encoding Variational Bayes,paper,corpus/ciencia_datos/deep_learning/08_autoencoders_vae_gans/vae_auto_encoding_variational_bayes.pdf,https://arxiv.org/abs/1312.6114,tema_especifico,yes,alta,Cubre VAE espacio latente probabilistico e inferencia variacional
gru_recomendado,deep_learning,secuenciales_rnn_lstm_gru,gru_encoder_decoder,Learning Phrase Representations using RNN Encoder-Decoder,paper,corpus/ciencia_datos/deep_learning/04_secuenciales_rnn_lstm_gru/gru_rnn_encoder_decoder.pdf,https://arxiv.org/abs/1406.1078,tema_especifico,yes,alta,Cubre GRU y encoder-decoder recurrente
lstm_recomendado,deep_learning,secuenciales_rnn_lstm_gru,lstm,Long Short-Term Memory,paper,Long Short-Term Memory,https://direct.mit.edu/neco/article/9/8/1735/6109/Long-Short-Term-Memory,tema_especifico,yes,media-alta,Fuente clasica; revisar disponibilidad PDF para ingesta
adam_recomendado,deep_learning,entrenamiento_optimizacion,adam_optimizer,Adam: A Method for Stochastic Optimization,paper,corpus/ciencia_datos/deep_learning/02_entrenamiento_optimizacion/adam_method_for_stochastic_optimization.pdf,https://arxiv.org/abs/1412.6980,tema_especifico,yes,alta,Cubre optimizador adaptativo Adam
dropout_recomendado,deep_learning,regularizacion_estabilidad,dropout,Dropout,paper,corpus/ciencia_datos/deep_learning/03_regularizacion_estabilidad/dropout_jmlr.pdf,https://jmlr.org/papers/v15/srivastava14a.html,tema_especifico,yes,alta,Cubre regularizacion contra sobreajuste
batchnorm_recomendado,deep_learning,regularizacion_estabilidad,batch_normalization,Batch Normalization,paper,corpus/ciencia_datos/deep_learning/03_regularizacion_estabilidad/batch_normalization.pdf,https://arxiv.org/abs/1502.03167,tema_especifico,yes,alta,Cubre normalizacion y estabilidad de entrenamiento
d2l_rnn_capitulo,deep_learning,secuenciales_rnn_lstm_gru,lstm_gru_deep_rnn,Modern Recurrent Neural Networks,capitulo_online,D2L Modern Recurrent Neural Networks,https://d2l.ai/chapter_recurrent-modern/index.html,capitulo_especifico,yes,alta,Fuente didactica para LSTM GRU y deep RNN
d2l_cnn_capitulo,deep_learning,cnn_vision,cnn_resnet,Convolutional Neural Networks / ResNet,capitulo_online,D2L CNN chapters,https://en.d2l.ai/,capitulo_especifico,yes,alta,Usar como complemento didactico de CNN y ResNet
d2l_optimization_capitulo,deep_learning,entrenamiento_optimizacion,optimization,Optimization Algorithms,capitulo_online,D2L optimization chapters,https://en.d2l.ai/,capitulo_especifico,yes,media,Usar para explicacion didactica de optimizadores
