id,estado,tipo,bloque,tema,archivo_o_fuente,url,uso_recomendado,prioridad,notas
bert_actual,actual,pdf_repo,Atencion/Transformers,BERT,corpus/Bert.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Bert.pdf,Fuente especifica para BERT y NLP contextual,media,Ya esta en GitHub
d2l_actual,actual,pdf_repo,General,Deep Learning amplio,corpus/Dive_into_deep.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Dive_into_deep.pdf,Usar por capitulos con metadatos de topic/chapter,alta,No tratar como un solo bloque
attention_actual,actual,pdf_repo,Atencion/Transformers,Attention Is All You Need,corpus/attention-is-all-you-need-Paper.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/attention-is-all-you-need-Paper.pdf,Paper central para self-attention y Transformer,alta,Ya esta en GitHub
gan_actual,actual,pdf_repo,Generativos,GANs,corpus/generative-adversarial-nets-Paper.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/generative-adversarial-nets-Paper.pdf,Paper central de GANs,alta,Ya esta en GitHub
esl_actual,actual,pdf_repo,ML clasico,Estadistica/ML clasico,corpus/Elements_statistic_learning.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Elements_statistic_learning.pdf,No usar como fuente fuerte de Deep Learning,baja,Puede contaminar alcance DL
hands_on_actual,actual,pdf_repo,General,ML practico y DL,corpus/Hands_on_machine.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Hands_on_machine.pdf,Usar como apoyo practico si hace falta,media,Mezcla ML y DL
isl_actual,actual,pdf_repo,ML clasico,ML/estadistica aplicada,corpus/Introductio_statistic_learning.pdf,https://github.com/Fernanda034/agente-rag-deeplearning/blob/main/corpus/Introductio_statistic_learning.pdf,No usar como fuente fuerte de Deep Learning,baja,Fuera del nucleo DL actual
resnet_nuevo,nuevo_recomendado,paper,CNN/Vision,ResNet,Deep Residual Learning for Image Recognition,https://arxiv.org/abs/1512.03385,Agregar como fuente especifica para CNN profunda y conexiones residuales,alta,Cubre hueco CNN/ResNet
gradcam_nuevo,nuevo_recomendado,paper,Explicabilidad,Grad-CAM,Grad-CAM: Visual Explanations from Deep Networks via Gradient-based Localization,https://arxiv.org/abs/1610.02391,Agregar como fuente especifica de explicabilidad en CNN,alta,Cubre hueco Grad-CAM
vae_nuevo,nuevo_recomendado,paper,Generativos,VAE,Auto-Encoding Variational Bayes,https://arxiv.org/abs/1312.6114,Agregar como fuente especifica para VAE y espacio latente probabilistico,alta,Cubre hueco VAE
lstm_nuevo,nuevo_recomendado,paper,Secuenciales,LSTM,Long Short-Term Memory,https://direct.mit.edu/neco/article/9/8/1735/6109/Long-Short-Term-Memory,Agregar como fuente especifica si se consigue PDF accesible,media-alta,Fuente clasica pero acceso puede depender de editor
gru_nuevo,nuevo_recomendado,paper,Secuenciales,GRU/RNN Encoder-Decoder,Learning Phrase Representations using RNN Encoder-Decoder,https://arxiv.org/abs/1406.1078,Agregar para GRU y encoder-decoder recurrente,alta,Cubre comparacion LSTM/GRU
adam_nuevo,nuevo_recomendado,paper,Entrenamiento/Optimizacion,Adam,Adam: A Method for Stochastic Optimization,https://arxiv.org/abs/1412.6980,Agregar para optimizadores adaptativos,alta,Cubre hueco Adam
dropout_nuevo,nuevo_recomendado,paper,Regularizacion,Dropout,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,https://jmlr.org/papers/v15/srivastava14a.html,Agregar para regularizacion y sobreajuste,alta,Cubre hueco dropout
batchnorm_nuevo,nuevo_recomendado,paper,Regularizacion/Estabilidad,Batch Normalization,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,https://arxiv.org/abs/1502.03167,Agregar para normalizacion y estabilidad,alta,Cubre hueco BatchNorm
d2l_rnn_capitulo,nuevo_recomendado,capitulo_online,Secuenciales,LSTM/GRU/Deep RNN,D2L Modern Recurrent Neural Networks,https://d2l.ai/chapter_recurrent-modern/index.html,Usar como capitulo didactico con codigo y explicacion,alta,Complementa papers originales
d2l_pdf,nuevo_referencia,pdf_libro,General,Dive into Deep Learning PDF oficial,D2L PDF,https://d2l.ai/d2l-en.pdf,Fuente oficial del PDF ya usado en repo,media,Util si se necesita descargar version oficial
